Experiment: RXFKCH00007  Selected Filter: SYBR Green I / HRM Dye (465-510)
Include	Color	Pos	Name	Group	Status
True	255	G3	Sample 147	2	
True	16744448	G4	Sample 148	1	
True	255	G5	Sample 149	2	
True	16744448	G6	Sample 150	1	
True	16744448	G7	Sample 151	1	
True	16744448	G8	Sample 152	1	
True	16744448	G9	Sample 153	1	
True	16744448	G10	Sample 154	1	
True	16744448	G11	Sample 155	1	* - Manually edited
True	255	G12	Sample 156	2	
True	255	G13	Sample 157	2	
True	255	G14	Sample 158	2	
True	255	G15	Sample 159	2	
True	255	G16	Sample 160	2	
True	16744448	G17	Sample 161	1	
True	16744448	G18	Sample 162	1	
True	16744448	G19	Sample 163	1	
True	16744448	G20	Sample 164	1	
True	16744448	G21	Sample 165	1	
True	255	G22	Sample 166	2	
True	16744448	G23	Sample 167	1	
True	16744448	G24	Sample 168	1	
True	255	H1	Sample 169	2	
True	255	H2	Sample 170	2	
True	16744448	H3	Sample 171	1	
True	16744448	H4	Sample 172	1	
True	255	H5	Sample 173	2	
True	16744448	H6	Sample 174	1	
True	16744448	H7	Sample 175	1	
True	16744448	H8	Sample 176	1	
True	255	H9	Sample 177	2	
True	16744448	H10	Sample 178	1	
True	255	H11	Sample 179	2	
True	16744448	H12	Sample 180	1	
True	255	H13	Sample 181	2	
True	16744448	H14	Sample 182	1	
True	16744448	H15	Sample 183	1	
True	255	H16	Sample 184	2	
True	4227327	H17	Sample 185	Negative	
True	255	H18	Sample 186	2	
True	255	H19	Sample 187	2	
True	255	H20	Sample 188	2	
True	16744448	H21	Sample 189	1	
True	16744448	H22	Sample 190	1	
True	16744448	H23	Sample 191	1	
True	255	H24	Sample 192	2	
True	16744448	I1	Sample 193	1	
True	255	I2	Sample 194	2	
True	16744448	I3	Sample 195	1	
True	255	I4	Sample 196	2	
True	16744448	I5	Sample 197	1	
True	255	I6	Sample 198	2	
True	16744448	I7	Sample 199	1	
True	255	I8	Sample 200	2	
True	16744448	I9	Sample 201	1	
True	255	I10	Sample 202	2	
True	16744448	I11	Sample 203	1	
True	4227327	I12	Sample 204	Negative	
True	255	I13	Sample 205	2	
True	16744448	I14	Sample 206	1	
True	16744448	I15	Sample 207	1	
True	255	I16	Sample 208	2	
True	255	I17	Sample 209	2	
True	255	I18	Sample 210	2	
True	255	I19	Sample 211	2	
True	255	I20	Sample 212	2	
True	255	I21	Sample 213	2	
True	16744448	I22	Sample 214	1	
True	255	I23	Sample 215	2	
True	16744448	I24	Sample 216	1	
True	16744448	J1	Sample 217	1	
True	255	J2	Sample 218	2	
True	255	J3	Sample 219	2	
True	16744448	J4	Sample 220	1	
True	255	J5	Sample 221	2	
True	16744448	J6	Sample 222	1	
True	255	J7	Sample 223	2	
True	255	J8	Sample 224	2	
True	16744448	J9	Sample 225	1	
True	16744448	J10	Sample 226	1	
True	255	J11	Sample 227	2	
True	16744448	J12	Sample 228	1	
True	16744448	J13	Sample 229	1	
True	16744448	J14	Sample 230	1	
True	16744448	J15	Sample 231	1	
True	16744448	J16	Sample 232	1	
True	16744448	J17	Sample 233	1	
True	255	J18	Sample 234	2	
True	255	J19	Sample 235	2	
True	255	J20	Sample 236	2	
True	16744448	J21	Sample 237	1	
True	16744448	J22	Sample 238	1	
True	16744448	J23	Sample 239	1	
True	16744448	J24	Sample 240	1	
True	16744448	K1	Sample 241	1	
True	16744448	K2	Sample 242	1	
True	16744448	K3	Sample 243	1	
True	255	K4	Sample 244	2	
True	16744448	K5	Sample 245	1	
True	16744448	K6	Sample 246	1	
True	255	K7	Sample 247	2	
True	16744448	K8	Sample 248	1	
True	16744448	K9	Sample 249	1	
True	255	K10	Sample 250	2	
True	16744448	K11	Sample 251	1	
True	16744448	K12	Sample 252	1	
True	255	K13	Sample 253	2	
True	255	K14	Sample 254	2	
True	255	K15	Sample 255	2	
True	16744448	K16	Sample 256	1	
True	255	K17	Sample 257	2	
True	255	K18	Sample 258	2	
True	16744448	K19	Sample 259	1	
True	255	K20	Sample 260	2	
True	16744448	K21	Sample 261	1	
True	16744448	K22	Sample 262	1	
True	16744448	K23	Sample 263	1	
True	16744448	K24	Sample 264	1	
True	255	L1	Sample 265	2	
True	255	L2	Sample 266	2	
True	16744448	L3	Sample 267	1	
True	16744448	L4	Sample 268	1	
True	16744448	L5	Sample 269	1	
True	255	L6	Sample 270	2	
True	16744448	L7	Sample 271	1	
True	255	L8	Sample 272	2	
True	255	L9	Sample 273	2	
True	16744448	L10	Sample 274	1	
True	16744448	L11	Sample 275	1	
True	16744448	L12	Sample 276	1	
True	255	L13	Sample 277	2	
True	16744448	L14	Sample 278	1	
True	16744448	L15	Sample 279	1	
True	255	L16	Sample 280	2	
True	16744448	L17	Sample 281	1	
True	255	L18	Sample 282	2	
True	16744448	L19	Sample 283	1	
True	255	L20	Sample 284	2	
True	255	L21	Sample 285	2	
True	16744448	L22	Sample 286	1	
True	16744448	L23	Sample 287	1	
True	255	L24	Sample 288	2	
True	16744448	M1	Sample 289	1	
True	16744448	M2	Sample 290	1	
True	255	M3	Sample 291	2	
True	255	M4	Sample 292	2	
True	255	M5	Sample 293	2	
True	255	M6	Sample 294	2	
True	255	M7	Sample 295	2	
True	16744448	M8	Sample 296	1	
True	16744448	M9	Sample 297	1	
True	255	M10	Sample 298	2	
True	255	M11	Sample 299	2	
True	16744448	M12	Sample 300	1	
True	16744448	M13	Sample 301	1	
True	255	M14	Sample 302	2	
True	16744448	M15	Sample 303	1	
True	255	M16	Sample 304	2	
True	16744448	M17	Sample 305	1	
True	16744448	M18	Sample 306	1	
True	255	M19	Sample 307	2	
True	16744448	M20	Sample 308	1	
True	16744448	M21	Sample 309	1	
True	16744448	M22	Sample 310	1	
True	16744448	M23	Sample 311	1	
True	4227327	M24	Sample 312	Negative	
True	255	N1	Sample 313	2	
True	16744448	N2	Sample 314	1	
True	16744448	N3	Sample 315	1	
True	4227327	N4	Sample 316	Negative	
True	16744448	N5	Sample 317	1	
True	16744448	N6	Sample 318	1	
True	255	N7	Sample 319	2	
True	16744448	N8	Sample 320	1	
True	16744448	N9	Sample 321	1	
True	8421504	N10	Sample 322	5	
True	16744448	N11	Sample 323	1	
True	16744448	N12	Sample 324	1	
True	255	N13	Sample 325	2	
True	255	N14	Sample 326	2	
True	255	N15	Sample 327	2	
True	16744448	N16	Sample 328	1	
True	16744448	N17	Sample 329	1	
True	255	N18	Sample 330	2	
True	255	N19	Sample 331	2	
True	255	N20	Sample 332	2	
True	16744448	N21	Sample 333	1	
True	16744448	N22	Sample 334	1	
True	16744448	N23	Sample 335	1	
True	255	N24	Sample 336	2	
True	255	O1	Sample 337	2	
True	16744448	O2	Sample 338	1	
True	16744448	O3	Sample 339	1	
True	255	O4	Sample 340	2	
True	16744448	O5	Sample 341	1	
True	255	O6	Sample 342	2	
True	255	O7	Sample 343	2	
True	255	O8	Sample 344	2	
True	255	O9	Sample 345	2	
True	16744448	O10	Sample 346	1	
True	255	O11	Sample 347	2	
True	255	O12	Sample 348	2	
True	255	O13	Sample 349	2	
True	16744448	O14	Sample 350	1	
True	255	O15	Sample 351	2	
True	16744448	O16	Sample 352	1	
True	16744448	O17	Sample 353	1	
True	16744448	O18	Sample 354	1	
True	255	O19	Sample 355	2	
True	16744448	O20	Sample 356	1	
True	16744448	O21	Sample 357	1	
True	255	O22	Sample 358	2	
True	16744448	O23	Sample 359	1	
True	16744448	O24	Sample 360	1	
True	255	P1	Sample 361	2	
True	16744448	P2	Sample 362	1	
True	16744448	P3	Sample 363	1	
True	16744448	P4	Sample 364	1	
True	16744448	P5	Sample 365	1	
True	255	P6	Sample 366	2	
True	255	P7	Sample 367	2	
True	255	P8	Sample 368	2	
True	16744448	P9	Sample 369	1	
True	16744448	P10	Sample 370	1	
True	255	P11	Sample 371	2	
True	16744448	P12	Sample 372	1	
True	255	P13	Sample 373	2	
True	255	P14	Sample 374	2	
True	16744448	P15	Sample 375	1	
True	16744448	P16	Sample 376	1	
True	16744448	P17	Sample 377	1	
True	16744448	P18	Sample 378	1	
True	255	P19	Sample 379	2	
True	16744448	P20	Sample 380	1	
True	16744448	P21	Sample 381	1	
True	16744448	P22	Sample 382	1	
True	255	P23	Sample 383	2	
True	255	P24	Sample 384	2	
